"GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","Yards","Formation","PlayType","IsIncomplete","IsTouchdown","IsSack","IsInterception","IsFumble","IsTwoPointConversion","IsTwoPointConversionSuccessful","YardLineFixed","YardLineDirection","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards","Referee"
2018-09-23,"2","8","24","ARI","CHI","3","9","33","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","33","OWN","ARI","1","DELAY OF GAME","5","Bill Vinovich"
2018-09-23,"2","4","0","CHI","ARI","1","10","79","0","SHOTGUN","PASS","1","0","0","0","0","0","0","21","OPP","ARI","1","ROUGHING THE PASSER","10","Bill Vinovich"
2018-09-23,"2","2","29","CHI","ARI","2","2","98","0","SHOTGUN","PASS","1","0","0","0","0","0","0","2","OPP","CHI","1","ILLEGAL SHIFT","5","Bill Vinovich"
2018-09-23,"4","3","10","ARI","CHI","1","10","35","4","SHOTGUN","PASS","0","0","0","0","0","0","0","35","OWN","CHI","1","ILLEGAL USE OF HANDS","5","Bill Vinovich"
2018-09-23,"2","14","15","CHI","ARI","1","10","53","4","SHOTGUN","PASS","0","0","0","0","0","0","0","47","OPP","CHI","1","ILLEGAL BLOCK ABOVE THE WAIST","0","Bill Vinovich"
2018-09-23,"3","10","46","CHI","ARI","1","10","33","0","UNDER CENTER","RUSH","0","0","0","0","0","0","0","33","OWN","CHI","0","ILLEGAL SHIFT","0","Bill Vinovich"
2015-11-22,"2","6","35","CIN","ARI","3","19","27","0","SHOTGUN","PASS","1","0","0","0","0","0","0","27","OWN","ARI","1","DEFENSIVE HOLDING","5","Terry McAulay"
2015-11-22,"2","14","1","ARI","CIN","1","10","56","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","44","OPP","ARI","1","FALSE START","5","Terry McAulay"
2015-11-22,"4","2","4","CIN","ARI","2","10","32","0","SHOTGUN","PASS","1","0","0","0","0","0","0","32","OWN","ARI","1","ILLEGAL USE OF HANDS","5","Terry McAulay"
2015-11-22,"2","5","3","CIN","ARI","3","3","39","25","SHOTGUN","PASS","0","0","0","0","0","0","0","39","OWN","CIN","1","ILLEGAL TOUCH PASS","5","Terry McAulay"
2015-11-22,"1","5","57","ARI","CIN","4","1","30","0","PUNT","PUNT","0","0","0","0","0","0","0","30","OWN","CIN","0","ILLEGAL BLOCK ABOVE THE WAIST","8","Terry McAulay"
2015-11-22,"1","1","50","CIN","ARI","1","9","91","9","UNDER CENTER","RUSH","0","1","0","0","0","0","0","9","OPP","CIN","0","OFFENSIVE HOLDING","10","Terry McAulay"
2015-11-22,"1","3","46","ARI","CIN","1","10","37","23","UNDER CENTER","PASS","0","0","0","1","0","0","0","37","OWN","ARI","0","ILLEGAL FORMATION","0","Terry McAulay"
2015-11-22,"3","4","9","ARI","CIN","1","10","51","8","UNDER CENTER","RUSH","0","0","0","0","0","0","0","49","OPP","ARI","1","OFFENSIVE HOLDING","10","Terry McAulay"
2015-11-22,"1","10","45","CIN","ARI","1","10","35","3","SHOTGUN","SCRAMBLE","0","0","0","0","0","0","0","35","OWN","ARI","0","DEFENSIVE HOLDING","5","Terry McAulay"
2015-11-22,"1","9","0","CIN","ARI","2","10","53","2","SHOTGUN","RUSH","0","0","0","0","0","0","0","47","OPP","CIN","0","TAUNTING","15","Terry McAulay"
2015-11-22,"2","14","20","ARI","CIN","3","8","22","12","SHOTGUN","PASS","0","0","0","0","0","0","0","22","OWN","CIN","0","UNNECESSARY ROUGHNESS","15","Terry McAulay"
2015-11-22,"4","13","57","CIN","ARI","2","21","67","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","33","OPP","CIN","1","DELAY OF GAME","5","Terry McAulay"
2015-11-22,"4","4","25","CIN","ARI","3","3","68","9","SHOTGUN","PASS","0","0","0","0","0","0","0","32","OPP","ARI","0","ILLEGAL USE OF HANDS","0","Terry McAulay"
2015-11-22,"2","14","1","ARI","CIN","1","10","49","2","UNDER CENTER","RUSH","0","0","0","0","0","0","0","49","OWN","CIN","0","ILLEGAL USE OF HANDS","5","Terry McAulay"
